"RoleName","Operation","Allowed"
"Contributor","Microsoft.ApiManagement/service/contentTypes/delete","True"
"Contributor","Microsoft.ApiManagement/service/contentTypes/write","True"
"Contributor","Microsoft.ApiManagement/service/contentTypes/contentItems/read","True"
"Contributor","Microsoft.ApiManagement/service/contentTypes/contentItems/write","True"
"Contributor","Microsoft.ApiManagement/service/contentTypes/contentItems/delete","True"
"Contributor","Microsoft.ApiManagement/service/users/identities/read","True"
"Contributor","Microsoft.ApiManagement/service/regions/read","True"
"Contributor","Microsoft.ApiManagement/service/caches/read","True"
"Contributor","Microsoft.ApiManagement/service/caches/write","True"
"Contributor","Microsoft.ApiManagement/service/caches/delete","True"
"Contributor","Microsoft.ApiManagement/service/users/keys/read","True"
"Contributor","Microsoft.ApiManagement/service/policy/read","True"
"Contributor","Microsoft.ApiManagement/service/policy/write","True"
"Contributor","Microsoft.ApiManagement/service/policy/delete","True"
"Contributor","Microsoft.ApiManagement/service/apis/policy/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/policy/write","True"
"Contributor","Microsoft.ApiManagement/service/apis/policy/delete","True"
"Contributor","Microsoft.ApiManagement/service/apis/operations/policy/read","True"
"Contributor","Microsoft.ApiManagement/service/apis/operations/policy/write","True"
"Contributor","Microsoft.ApiManagement/service/apis/operations/policy/delete","True"
"Contributor","Microsoft.ApiManagement/service/products/policy/read","True"
"Contributor","Microsoft.ApiManagement/service/products/policy/write","True"
"Contributor","Microsoft.ApiManagement/service/products/policy/delete","True"
"Contributor","Microsoft.ApiManagement/service/gateways/read","True"
"Contributor","Microsoft.ApiManagement/service/gateways/write","True"
"Contributor","Microsoft.ApiManagement/service/gateways/delete","True"
"Contributor","Microsoft.ApiManagement/service/gateways/listKeys/action","True"
"Contributor","Microsoft.ApiManagement/service/gateways/keys/action","True"
"Contributor","Microsoft.ApiManagement/service/gateways/regenerateKey/action","True"
"Contributor","Microsoft.ApiManagement/service/gateways/generateToken/action","True"
"Contributor","Microsoft.ApiManagement/service/gateways/token/action","True"
"Contributor","Microsoft.ApiManagement/service/gateways/invalidateDebugCredentials/action","True"
"Contributor","Microsoft.ApiManagement/service/gateways/listDebugCredentials/action","True"
"Contributor","Microsoft.ApiManagement/service/gateways/listTrace/action","True"
"Contributor","Microsoft.ApiManagement/service/gateways/getConfiguration/action","True"
"Contributor","Microsoft.ApiManagement/service/policyDescriptions/read","True"
"Contributor","Microsoft.ApiManagement/service/gateways/hostnameConfigurations/read","True"
"Contributor","Microsoft.ApiManagement/service/gateways/hostnameConfigurations/write","True"
"Contributor","Microsoft.ApiManagement/service/gateways/hostnameConfigurations/delete","True"
"Contributor","Microsoft.ApiManagement/service/gateways/apis/read","True"
"Contributor","Microsoft.ApiManagement/service/gateways/apis/write","True"
"Contributor","Microsoft.ApiManagement/service/gateways/apis/delete","True"
"Contributor","Microsoft.ApiManagement/service/namedValues/read","True"
"Contributor","Microsoft.ApiManagement/service/namedValues/write","True"
